Function Stack,CPU Time,CPU Time:Effective Time,CPU Time:Effective Time:Idle,CPU Time:Effective Time:Poor,CPU Time:Effective Time:Ok,CPU Time:Effective Time:Ideal,CPU Time:Effective Time:Over,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
      clone,0.039999,0.039999,0.0,0.039999,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
   insert_initials,0.031976,0.031976,0.0,0.031976,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_initials,insert_concurrent.c,0x2ca0
    bptreeThreadFunctionWrapper,0.031976,0.031976,0.0,0.031976,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
     start_thread,0.031976,0.031976,0.0,0.031976,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
      clone,0.031976,0.031976,0.0,0.031976,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
 NVMHTM_write_ts,0.012001,0.012001,0.0,0.012001,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,NVMHTM_write_ts,nvhtm_helper.cpp,0x21236
  NVMHTM_commit,0.012001,0.012001,0.0,0.012001,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,NVMHTM_commit,nvhtm_helper.cpp,0x21407
   insert,0.012001,0.012001,0.0,0.012001,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert,bptree.c,0x8d20
    insert_random,0.012001,0.012001,0.0,0.012001,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_random,insert_concurrent.c,0x2d70
     bptreeThreadFunctionWrapper,0.012001,0.012001,0.0,0.012001,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
      start_thread,0.012001,0.012001,0.0,0.012001,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
       clone,0.012001,0.012001,0.0,0.012001,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
LOG_get_ts_before_tx,0.079994,0.079994,0.0,0.079994,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,LOG_get_ts_before_tx,log.cpp,0x1b071
 insert,0.079994,0.079994,0.0,0.079994,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert,bptree.c,0x8d20
  insert_random,0.047995,0.047995,0.0,0.047995,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_random,insert_concurrent.c,0x2d70
   bptreeThreadFunctionWrapper,0.047995,0.047995,0.0,0.047995,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
    start_thread,0.047995,0.047995,0.0,0.047995,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
     clone,0.047995,0.047995,0.0,0.047995,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
  insert_initials,0.031999,0.031999,0.0,0.031999,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_initials,insert_concurrent.c,0x2ca0
   bptreeThreadFunctionWrapper,0.031999,0.031999,0.0,0.031999,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
    start_thread,0.031999,0.031999,0.0,0.031999,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
     clone,0.031999,0.031999,0.0,0.031999,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
std::bitset<(unsigned long)56>::reference::operator=,0.075994,0.075994,0.0,0.075994,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,std::bitset<(unsigned long)56>::reference::operator=(bool),bitset,0x2264c
 dangerous_threads,0.075994,0.075994,0.0,0.075994,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,"dangerous_threads(int, std::bitset<(unsigned long)56>&)",nvhtm_helper.cpp,0x2194c
  NVMHTM_commit,0.075994,0.075994,0.0,0.075994,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,NVMHTM_commit,nvhtm_helper.cpp,0x21407
   insert,0.075994,0.075994,0.0,0.075994,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert,bptree.c,0x8d20
    insert_random,0.056000,0.056000,0.0,0.056000,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_random,insert_concurrent.c,0x2d70
     bptreeThreadFunctionWrapper,0.056000,0.056000,0.0,0.056000,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
      start_thread,0.056000,0.056000,0.0,0.056000,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
       clone,0.056000,0.056000,0.0,0.056000,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
    insert_initials,0.019994,0.019994,0.0,0.019994,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_initials,insert_concurrent.c,0x2ca0
     bptreeThreadFunctionWrapper,0.019994,0.019994,0.0,0.019994,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
      start_thread,0.019994,0.019994,0.0,0.019994,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
       clone,0.019994,0.019994,0.0,0.019994,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
get_rand,0.059998,0.059998,0.0,0.059998,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,get_rand,random.c,0x19aa0
 insert_random,0.059998,0.059998,0.0,0.059998,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_random,insert_concurrent.c,0x2d70
  bptreeThreadFunctionWrapper,0.059998,0.059998,0.0,0.059998,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
   start_thread,0.059998,0.059998,0.0,0.059998,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
    clone,0.059998,0.059998,0.0,0.059998,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
std::bitset<(unsigned long)56>::bitset,0.051999,0.051999,0.0,0.051999,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,std::bitset<(unsigned long)56>::bitset(unsigned long long),bitset,0x224b4
 NVMHTM_commit,0.051999,0.051999,0.0,0.051999,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,NVMHTM_commit,nvhtm_helper.cpp,0x21407
  insert,0.051999,0.051999,0.0,0.051999,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert,bptree.c,0x8d20
   insert_initials,0.032000,0.032000,0.0,0.032000,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_initials,insert_concurrent.c,0x2ca0
    bptreeThreadFunctionWrapper,0.032000,0.032000,0.0,0.032000,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
     start_thread,0.032000,0.032000,0.0,0.032000,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
      clone,0.032000,0.032000,0.0,0.032000,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
   insert_random,0.019999,0.019999,0.0,0.019999,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_random,insert_concurrent.c,0x2d70
    bptreeThreadFunctionWrapper,0.019999,0.019999,0.0,0.019999,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
     start_thread,0.019999,0.019999,0.0,0.019999,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
      clone,0.019999,0.019999,0.0,0.019999,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
TM_get_nb_threads,0.048004,0.048004,0.0,0.048004,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,TM_get_nb_threads,tm.cpp,0x1ae13
 dangerous_threads,0.024005,0.024005,0.0,0.024005,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,"dangerous_threads(int, std::bitset<(unsigned long)56>&)",nvhtm_helper.cpp,0x2194c
  NVMHTM_commit,0.012003,0.012003,0.0,0.012003,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,NVMHTM_commit,nvhtm_helper.cpp,0x21407
   insert,0.012003,0.012003,0.0,0.012003,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert,bptree.c,0x8d20
    insert_random,0.012003,0.012003,0.0,0.012003,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_random,insert_concurrent.c,0x2d70
     bptreeThreadFunctionWrapper,0.012003,0.012003,0.0,0.012003,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
      start_thread,0.012003,0.012003,0.0,0.012003,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
       clone,0.012003,0.012003,0.0,0.012003,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
  NVMHTM_validate,0.012002,0.012002,0.0,0.012002,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,"NVMHTM_validate(int, std::bitset<(unsigned long)56>&)",nvhtm_helper.cpp,0x21883
   NVMHTM_commit,0.012002,0.012002,0.0,0.012002,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,NVMHTM_commit,nvhtm_helper.cpp,0x21407
    insert,0.012002,0.012002,0.0,0.012002,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert,bptree.c,0x8d20
     insert_initials,0.012002,0.012002,0.0,0.012002,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_initials,insert_concurrent.c,0x2ca0
      bptreeThreadFunctionWrapper,0.012002,0.012002,0.0,0.012002,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
       start_thread,0.012002,0.012002,0.0,0.012002,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
        clone,0.012002,0.012002,0.0,0.012002,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
 NVMHTM_validate,0.012000,0.012000,0.0,0.012000,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,"NVMHTM_validate(int, std::bitset<(unsigned long)56>&)",nvhtm_helper.cpp,0x21883
  NVMHTM_commit,0.012000,0.012000,0.0,0.012000,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,NVMHTM_commit,nvhtm_helper.cpp,0x21407
   insert,0.012000,0.012000,0.0,0.012000,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert,bptree.c,0x8d20
    insert_initials,0.012000,0.012000,0.0,0.012000,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_initials,insert_concurrent.c,0x2ca0
     bptreeThreadFunctionWrapper,0.012000,0.012000,0.0,0.012000,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
      start_thread,0.012000,0.012000,0.0,0.012000,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
       clone,0.012000,0.012000,0.0,0.012000,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
 NVMHTM_commit,0.011999,0.011999,0.0,0.011999,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,NVMHTM_commit,nvhtm_helper.cpp,0x21407
  insert,0.011999,0.011999,0.0,0.011999,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert,bptree.c,0x8d20
   insert_initials,0.011999,0.011999,0.0,0.011999,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_initials,insert_concurrent.c,0x2ca0
    bptreeThreadFunctionWrapper,0.011999,0.011999,0.0,0.011999,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
     start_thread,0.011999,0.011999,0.0,0.011999,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
      clone,0.011999,0.011999,0.0,0.011999,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
std::bitset<(unsigned long)56>::operator|=,0.043998,0.043998,0.0,0.043998,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,std::bitset<(unsigned long)56>::operator|=(std::bitset<(unsigned long)56> const&),bitset,0x224e8
 NVMHTM_commit,0.043998,0.043998,0.0,0.043998,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,NVMHTM_commit,nvhtm_helper.cpp,0x21407
  insert,0.043998,0.043998,0.0,0.043998,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert,bptree.c,0x8d20
   insert_random,0.031998,0.031998,0.0,0.031998,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_random,insert_concurrent.c,0x2d70
    bptreeThreadFunctionWrapper,0.031998,0.031998,0.0,0.031998,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
     start_thread,0.031998,0.031998,0.0,0.031998,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
      clone,0.031998,0.031998,0.0,0.031998,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
   insert_initials,0.012000,0.012000,0.0,0.012000,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_initials,insert_concurrent.c,0x2ca0
    bptreeThreadFunctionWrapper,0.012000,0.012000,0.0,0.012000,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
     start_thread,0.012000,0.012000,0.0,0.012000,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
      clone,0.012000,0.012000,0.0,0.012000,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
TM_get_local_counter,0.043997,0.043997,0.0,0.043997,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,TM_get_local_counter,tm.cpp,0x1add2
 dangerous_threads,0.043997,0.043997,0.0,0.043997,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,"dangerous_threads(int, std::bitset<(unsigned long)56>&)",nvhtm_helper.cpp,0x2194c
  NVMHTM_commit,0.043997,0.043997,0.0,0.043997,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,NVMHTM_commit,nvhtm_helper.cpp,0x21407
   insert,0.043997,0.043997,0.0,0.043997,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert,bptree.c,0x8d20
    insert_random,0.043997,0.043997,0.0,0.043997,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_random,insert_concurrent.c,0x2d70
     bptreeThreadFunctionWrapper,0.043997,0.043997,0.0,0.043997,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
      start_thread,0.043997,0.043997,0.0,0.043997,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
       clone,0.043997,0.043997,0.0,0.043997,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
warmup,0.042003,0.042003,0.0,0.042003,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,warmup,insert_concurrent.c,0x2c80
 bptreeThreadFunctionWrapper,0.042003,0.042003,0.0,0.042003,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
  start_thread,0.042003,0.042003,0.0,0.042003,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
   clone,0.042003,0.042003,0.0,0.042003,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
rand,0.037994,0.037994,0.0,0.037994,0.0,0.0,0.0,0.0,0.0,libc.so.6,rand,rand.c,0x44450
 random_init,0.037994,0.037994,0.0,0.037994,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,random_init,random.c,0x19a00
  main,0.037994,0.037994,0.0,0.037994,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,main,insert_concurrent.c,0x25e0
   __libc_start_main,0.037994,0.037994,0.0,0.037994,0.0,0.0,0.0,0.0,0.0,libc.so.6,__libc_start_main,libc-start.c,0x21ab0
    _start,0.037994,0.037994,0.0,0.037994,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,_start,[Unknown],0x2b70
dangerous_threads,0.027999,0.027999,0.0,0.027999,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,"dangerous_threads(int, std::bitset<(unsigned long)56>&)",nvhtm_helper.cpp,0x2194c
 NVMHTM_commit,0.027999,0.027999,0.0,0.027999,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,NVMHTM_commit,nvhtm_helper.cpp,0x21407
  insert,0.027999,0.027999,0.0,0.027999,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert,bptree.c,0x8d20
   insert_initials,0.016000,0.016000,0.0,0.016000,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_initials,insert_concurrent.c,0x2ca0
    bptreeThreadFunctionWrapper,0.016000,0.016000,0.0,0.016000,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
     start_thread,0.016000,0.016000,0.0,0.016000,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
      clone,0.016000,0.016000,0.0,0.016000,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
